dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,Temperature (Day),Temperature (Min),Temperature (Max),temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,snow
2023-11-30 19:00:00,2023-11-30 07:29:39-07:00,2023-11-30 17:00:39-07:00,2023-11-30 19:51:00-07:00,2023-11-30 10:56:00-07:00,0.61,There will be partly cloudy today,1010,68,10.26,4.94,260,5.48,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",85,0.0,1.52,18.09,14.11,21.74,14.59,15.22,15.76,11.91,14.59,15.22,15.76,
2023-12-01 19:00:00,2023-12-01 07:30:41-07:00,2023-12-01 17:00:21-07:00,2023-12-01 20:55:00-07:00,2023-12-01 11:37:00-07:00,0.65,"The day will start with partly cloudy through the late morning hours, transitioning to snow",1011,82,19.69,5.99,239,13.51,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",100,0.94,0.87,18.07,13.82,19.49,13.96,15.76,15.37,10.62,4.75,7.88,15.37,4.92
2023-12-02 19:00:00,2023-12-02 07:31:42-07:00,2023-12-02 17:00:06-07:00,2023-12-02 21:59:00-07:00,2023-12-02 12:09:00-07:00,0.68,Expect a day of partly cloudy with snow,1021,90,19.89,8.84,254,22.62,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",100,0.93,1.25,16.14,9.75,17.37,15.3,13.23,10.27,6.22,7.2,6.51,2.73,10.46
2023-12-03 19:00:00,2023-12-03 07:32:41-07:00,2023-12-03 16:59:53-07:00,2023-12-03 23:02:00-07:00,2023-12-03 12:35:00-07:00,0.71,There will be snow today,1025,98,27.46,5.08,210,9.17,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",100,0.89,1.05,21.61,15.64,22.64,18.48,19.6,16.14,14.97,13.28,14.16,8.8,10.61
2023-12-04 19:00:00,2023-12-04 07:33:40-07:00,2023-12-04 16:59:42-07:00,1969-12-31 17:00:00-07:00,2023-12-04 12:58:00-07:00,0.75,"The day will start with snow through the late morning hours, transitioning to partly cloudy",1025,98,30.09,2.64,201,5.75,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",93,0.59,2.0,24.33,14.97,25.12,14.97,19.72,17.98,24.33,14.97,19.72,17.98,1.07
2023-12-05 19:00:00,2023-12-05 07:34:37-07:00,2023-12-05 16:59:33-07:00,2023-12-05 00:03:00-07:00,2023-12-05 13:19:00-07:00,0.77,Expect a day of partly cloudy with clear spells,1029,91,29.79,1.97,85,3.67,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4,0.0,2.0,25.74,14.9,27.46,19.2,21.87,14.9,25.74,19.2,21.87,14.9,
2023-12-06 19:00:00,2023-12-06 07:35:33-07:00,2023-12-06 16:59:26-07:00,2023-12-06 01:03:00-07:00,2023-12-06 13:38:00-07:00,0.8,Expect a day of partly cloudy with clear spells,1025,88,32.14,2.55,140,4.45,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,0.0,2.0,29.25,19.11,30.94,21.49,24.31,19.18,29.25,21.49,24.31,19.18,
2023-12-07 19:00:00,2023-12-07 07:36:27-07:00,2023-12-07 16:59:22-07:00,2023-12-07 02:03:00-07:00,2023-12-07 13:57:00-07:00,0.83,Expect a day of partly cloudy with clear spells,1017,76,29.41,4.81,183,7.76,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",83,0.0,2.0,30.56,21.58,31.78,21.58,24.31,21.58,26.44,21.58,20.55,21.58,
